Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1961,1961,Hg/Ha,4684.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1962,1962,Hg/Ha,2110.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1963,1963,Hg/Ha,3772.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1964,1964,Hg/Ha,4655.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1965,1965,Hg/Ha,3443.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1966,1966,Hg/Ha,4432.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1967,1967,Hg/Ha,2069.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1968,1968,Hg/Ha,4434.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1969,1969,Hg/Ha,3223.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1970,1970,Hg/Ha,4288.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1971,1971,Hg/Ha,3556.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1972,1972,Hg/Ha,3868.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1973,1973,Hg/Ha,4073.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1974,1974,Hg/Ha,2313.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1975,1975,Hg/Ha,3133.0,Fc,Calculated data
QC,Crops,107,Côte d'Ivoire,5419,Yield,656,"Coffee, green",1976,1976,Hg/Ha,3421.0,Fc,Calculated data
